sku;old_url;operation;new_url;
sta-16015;"https://www.trains-addicted.ro/ro/cautare?_q=esu+loksound&amp;_producerId=&amp;_epoqueId=&amp;_operatorId=&amp;_scaleId=&amp;_perPage=100&amp;_orderBy=priceDesc&amp;_perPage=100&amp;_q=esu+loksound&amp;_orderBy=productCodeAsc";DELETE_LINK;;
sta-16014;"https://www.trains-addicted.ro/ro/cautare?_q=esu+loksound&amp;_producerId=&amp;_epoqueId=&amp;_operatorId=&amp;_scaleId=&amp;_perPage=100&amp;_orderBy=priceDesc&amp;_perPage=100&amp;_q=esu+loksound&amp;_orderBy=productCodeAsc";DELETE_LINK;;
sta-16013;"https://www.trains-addicted.ro/ro/cautare?_q=esu+loksound&amp;_producerId=&amp;_epoqueId=&amp;_operatorId=&amp;_scaleId=&amp;_perPage=100&amp;_orderBy=priceDesc&amp;_perPage=100&amp;_q=esu+loksound&amp;_orderBy=productCodeAsc";DELETE_LINK;;
sta-16012;"https://www.trains-addicted.ro/ro/cautare?_q=esu+loksound&amp;_producerId=&amp;_epoqueId=&amp;_operatorId=&amp;_scaleId=&amp;_perPage=100&amp;_orderBy=priceDesc&amp;_perPage=100&amp;_q=esu+loksound&amp;_orderBy=productCodeAsc";DELETE_LINK;;
sta-16011;"https://www.trains-addicted.ro/ro/cautare?_q=esu+loksound&amp;_producerId=&amp;_epoqueId=&amp;_operatorId=&amp;_scaleId=&amp;_perPage=100&amp;_orderBy=priceDesc&amp;_perPage=100&amp;_q=esu+loksound&amp;_orderBy=productCodeAsc";DELETE_LINK;;
sta-16010;"https://www.trains-addicted.ro/ro/cautare?_q=esu+loksound&amp;_producerId=&amp;_epoqueId=&amp;_operatorId=&amp;_scaleId=&amp;_perPage=100&amp;_orderBy=priceDesc&amp;_perPage=100&amp;_q=esu+loksound&amp;_orderBy=productCodeAsc";DELETE_LINK;;
sta-0-loco electrica CFR;http://www.trains-addicted.ro/ro/produse/digital-decodoare-accesorii-electrice/decodoare-loco-difuzoare;;accesorii-trenulete/electrice/decodoare-loco-si-difuzoare.html;
r-73980;http://www.trains-addicted.ro/ro/produse/digital-decodoare-accesorii-electrice/decodoare-loco-difuzoare;;accesorii-trenulete/electrice/decodoare-loco-si-difuzoare.html;
r-73978;http://www.trains-addicted.ro/ro/produse/digital-decodoare-accesorii-electrice/decodoare-loco-difuzoare;;accesorii-trenulete/electrice/decodoare-loco-si-difuzoare.html;
r-73954;http://www.trains-addicted.ro/ro/produse/digital-decodoare-accesorii-electrice/decodoare-loco-difuzoare;;accesorii-trenulete/electrice/decodoare-loco-si-difuzoare.html;
r-73915;http://www.trains-addicted.ro/ro/produse/digital-decodoare-accesorii-electrice/decodoare-loco-difuzoare;;accesorii-trenulete/electrice/decodoare-loco-si-difuzoare.html;
r-73894;http://www.trains-addicted.ro/ro/produse/digital-decodoare-accesorii-electrice/decodoare-loco-difuzoare;;accesorii-trenulete/electrice/decodoare-loco-si-difuzoare.html;
r-73892;http://www.trains-addicted.ro/ro/produse/digital-decodoare-accesorii-electrice/decodoare-loco-difuzoare;;accesorii-trenulete/electrice/decodoare-loco-si-difuzoare.html;
r-73890;http://www.trains-addicted.ro/ro/produse/digital-decodoare-accesorii-electrice/decodoare-loco-difuzoare;;accesorii-trenulete/electrice/decodoare-loco-si-difuzoare.html;
r-73883;http://www.trains-addicted.ro/ro/produse/digital-decodoare-accesorii-electrice/decodoare-loco-difuzoare;;accesorii-trenulete/electrice/decodoare-loco-si-difuzoare.html;
r-73869;"https://www.trains-addicted.ro/ro/cautare?command=search&amp;_q=r-6707&amp;_producerId=&amp;_epoqueId=&amp;_operatorId=&amp;_scaleId=";DELETE_LINK;;
r-73868;"https://www.trains-addicted.ro/ro/cautare?command=search&amp;_q=r-6707&amp;_producerId=&amp;_epoqueId=&amp;_operatorId=&amp;_scaleId=";DELETE_LINK;;
r-73868;http://www.trains-addicted.ro/ro/produse/digital-decodoare-accesorii-electrice/decodoare-loco-difuzoare;;accesorii-trenulete/electrice/decodoare-loco-si-difuzoare.html;
r-73820;http://www.trains-addicted.ro/ro/produse/digital-decodoare-accesorii-electrice/decodoare-loco-difuzoare;;accesorii-trenulete/electrice/decodoare-loco-si-difuzoare.html;
r-73818;http://www.trains-addicted.ro/ro/produse/digital-decodoare-accesorii-electrice/decodoare-loco-difuzoare;;accesorii-trenulete/electrice/decodoare-loco-si-difuzoare.html;
r-73813;http://www.trains-addicted.ro/ro/produse/digital-decodoare-accesorii-electrice/decodoare-loco-difuzoare;;accesorii-trenulete/electrice/decodoare-loco-si-difuzoare.html;
r-73802;http://www.trains-addicted.ro/ro/produse/digital-decodoare-accesorii-electrice/decodoare-loco-difuzoare;;accesorii-trenulete/electrice/decodoare-loco-si-difuzoare.html;
r-73800;http://www.trains-addicted.ro/ro/produse/digital-decodoare-accesorii-electrice/decodoare-loco-difuzoare;;accesorii-trenulete/electrice/decodoare-loco-si-difuzoare.html;
r-73790;http://www.trains-addicted.ro/ro/produse/digital-decodoare-accesorii-electrice/decodoare-loco-difuzoare;;accesorii-trenulete/electrice/decodoare-loco-si-difuzoare.html;
